Verb,Beginning,Completion,DO/PO,Freaky,,,,,,,,,,,,,,,,,,,
awarded, -The principal awarded,a trophy,X,,,,,,,,,,,,,,,,,,,,
awarded, -The principal awarded,giving trophy to the winner,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The mayor awarded,medal to a player,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The teacher awarded,A certificate to student,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The mayor awarded,a medal to an athlete on a podium,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The mayor awarded,a golden medal to winner,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The teacher awarded,the certificate to the student.,PO,,,,,,,,,,,,,,,,,,,,
awarded, -The principal awarded,a girl.,X,,,,,,,,,,,,,,,,,,,,
brought, -The boy brought,a pencil to his mom,PO,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,a pizza to a man who is sitting alone,PO,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,the menu to the gentleman,PO,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,menu plate to a gentleman sitting on the table,PO,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,pizza.,X,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,the pizza,X,,,,,,,,,,,,,,,,,,,,
brought, -The boy brought,the pencil,X,,,,,,,,,,,,,,,,,,,,
brought, -The boy brought,pen,X,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,menu to a guest,PO,,,,,,,,,,,,,,,,,,,,
brought, -The boy brought,the pencel to his mom.,PO,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,a manu to customer,PO,,,,,,,,,,,,,,,,,,,,
brought, -The boy brought,the pencel to he's mom.,PO,? Spelling error,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,pizza for him ,PO,? Diff preposition,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,a pizza to a man who is sitting on the table alone.,PO,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,menu a customer,X,"word order = PO, no preposition",,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,a whole of pizza to the customer.,PO,wrong NP,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,a menu for a man.,PO, ? Diff preposition,,,,,,,,,,,,,,,,,,,
brought, -The boy brought,a pencil to his mother.,PO,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,the pizza to the man who was waiting the meal alone at the cateteria.,PO,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,a menu to the customer,PO,,,,,,,,,,,,,,,,,,,,
brought, -The boy brought,pencil to his mother,PO,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,the man with suit a menu list.,DO,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,the menu to the man who visit alone,PO,,,,,,,,,,,,,,,,,,,,
brought, -The boy brought,pencil to mom,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
brought, -The boy brought,Something to mom,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,the pizza,X,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,pizza! ko wa boong ga!!,X,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,a menu for a man,PO,? Diff preposition,,,,,,,,,,,,,,,,,,,
brought, -The boy brought,Something that his mother asked,X,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,the menu to a male visitor,PO,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,a menu,X,,,,,,,,,,,,,,,,,,,,
brought, -The boy brought,a pencil to his mom.,PO,,,,,,,,,,,,,,,,,,,,
brought, -The waitress brought,a pizza to the man.,PO,,,,,,,,,,,,,,,,,,,,
gave, -The man gave,his daughter a present,DO,,,,,,,,,,,,,,,,,,,,
gave, -The nurse gave,a pill to her patient,PO,,,,,,,,,,,,,,,,,,,,
gave, -The girl gave,a bunch of flowers to her teacher,PO,,,,,,,,,,,,,,,,,,,,
gave, -The girl gave,flowers to a gentleman,PO,,,,,,,,,,,,,,,,,,,,
gave, -The nurse gave,phils.,X,,,,,,,,,,,,,,,,,,,,
gave, -The man gave,a small present to girl.,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
gave, -The nurse gave,medicine to her patient,PO,,,,,,,,,,,,,,,,,,,,
gave, -The man gave,her a gift,DO,,,,,,,,,,,,,,,,,,,,
gave, -The man gave,present,X,,,,,,,,,,,,,,,,,,,,
gave, -The girl gave,flower to her teacher ,PO,,,,,,,,,,,,,,,,,,,,
gave, -The man gave,a present his daughter,PO,"word order = PO, no preposition",,,,,,,,,,,,,,,,,,,
gave, -The girl gave,some flower to boy,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
gave, -The man gave,a present his daughter,PO,"word order = PO, no preposition",,,,,,,,,,,,,,,,,,,
gave, -The nurse gave,the medicine with water,X,,,,,,,,,,,,,,,,,,,,
gave, -The nurse gave,medicine for a patient.,PO,diff preposition,,,,,,,,,,,,,,,,,,,
gave, -The girl gave,flower a teacher,PO,"word order = PO, no preposition",,,,,,,,,,,,,,,,,,,
gave, -The nurse gave,some medicine to a patient.,PO,,,,,,,,,,,,,,,,,,,,
gave, -The girl gave,a bouquet from her teacher.,X,,,,,,,,,,,,,,,,,,,,
gave, -The man gave,a gift to girl.,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
gave, -The nurse gave,the water with some medicine to the man who is on the bed with sickness.,X,,,,,,,,,,,,,,,,,,,,
gave, -The girl gave,some flowers to her teacher,PO,,,,,,,,,,,,,,,,,,,,
gave, -The man gave,his douther present,X,,,,,,,,,,,,,,,,,,,,
gave, -The girl gave,flowers the teacher in front of the blackboard.,PO,"word order = PO, no preposition",,,,,,,,,,,,,,,,,,,
gave, -The girl gave,flowers to math teacher,PO,,,,,,,,,,,,,,,,,,,,
gave, -The man gave,a present to her.,PO,Pronoun,,,,,,,,,,,,,,,,,,,
gave, -The man gave,A gift to girl,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
gave, -The nurse gave,a medicine,X,,,,,,,,,,,,,,,,,,,,
gave, -The nurse gave,some medicine to the patient ,PO,,,,,,,,,,,,,,,,,,,,
gave, -The girl gave,flowers to teacher,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
gave, -The man gave,A present to girl,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
gave, -The girl gave,a bouquet to her math teacher,PO,,,,,,,,,,,,,,,,,,,,
gave, -The girl gave,flower to her teacher,PO,,,,,,,,,,,,,,,,,,,,
gave, -The man gave,the gift to the girl.,PO,,,,,,,,,,,,,,,,,,,,
gave, -The nurse gave,patient a glass of water.,DO,,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,a brush to the painter,PO,,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,a letter 'K' to the boy so that he could put it in the right place,PO,,,,,,,,,,,,,,,,,,,,
handed, -The boy handed,the guitar to the singer,PO,,,,,,,,,,,,,,,,,,,,
handed, -The boy handed,a guitar to a man singing a song,PO,,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,chalk.,X,,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,big brush to him.,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
handed, -The girl handed,something to her friend,PO,,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,the brush to him,PO,Pronoun,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,a brush,X,,,,,,,,,,,,,,,,,,,,
handed, -The boy handed,his guitar to singer,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
handed, -The girl handed,a brush to him,PO,Pronoun,,,,,,,,,,,,,,,,,,,
handed, -The boy handed,guitar to singer,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
handed, -The girl handed,a brush to him,PO,Pronoun,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,emblem 'k' for puzzle,X,,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,letter 'K' to a boy on the ladder to put on the balckboard. ,PO,,,,,,,,,,,,,,,,,,,,
handed, -The boy handed,guitar to friend,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
handed, -The girl handed,something to a boy.,PO,,,,,,,,,,,,,,,,,,,,
handed, -The boy handed,a guitar to a singer who seated a chair. ,PO,,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,a brush.,X,,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,the choke the boy who is on the ladder and trying to write letters on the blackboard.,PO,"word order = PO, no preposition",,,,,,,,,,,,,,,,,,,
handed, -The boy handed,his guitar to the singer,PO,,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,brush to the boy that is trying to paint the wall,PO,,,,,,,,,,,,,,,,,,,,
handed, -The boy handed,a guitar to the man holding the microphone.,PO,,,,,,,,,,,,,,,,,,,,
handed, -The boy handed,the guitar to the singer,PO,,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,brush to him,PO,Pronoun,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,Out a brush to guy,PO,hand out?,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,something,X,,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,the tool to the engineer,PO,,,,,,,,,,,,,,,,,,,,
handed, -The boy handed,a mac and the other boy playing guitar,X,,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,A brush to man,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
handed, -The boy handed,a guitar to a woman standing on a chair with a mike,PO,,,,,,,,,,,,,,,,,,,,
handed, -The boy handed,a guitar,X,,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,the brush to the boy.,PO,,,,,,,,,,,,,,,,,,,,
handed, -The girl handed,a alphabet letter K to the boy.,PO,,,,,,,,,,,,,,,,,,,,
offered, -The boy offered,his heart to the girl,PO,,,,,,,,,,,,,,,,,,,,
offered, -The maid offered,some drinks to the visitors,PO,,,,,,,,,,,,,,,,,,,,
offered, -The girl offered,flower to the teacher,PO,,,,,,,,,,,,,,,,,,,,
offered, -The girl offered,some flowers to a teacher who looks so happy,PO,,,,,,,,,,,,,,,,,,,,
offered, -The maid offered,beverage.,X,,,,,,,,,,,,,,,,,,,,
offered, -The maid offered,alcohol to the people,PO,,,,,,,,,,,,,,,,,,,,
offered, -The boy offered,a love letter to the girl ,PO,,,,,,,,,,,,,,,,,,,,
offered, -The boy offered,love,X,,,,,,,,,,,,,,,,,,,,
offered, -The girl offered,flower to lady,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
offered, -The boy offered,love to her,PO,Pronoun,,,,,,,,,,,,,,,,,,,
offered, -The boy offered,love to her,PO,Pronoun,,,,,,,,,,,,,,,,,,,
offered, -The maid offered,beverage to people,PO,,,,,,,,,,,,,,,,,,,,
offered, -The maid offered,desserts to two guys who are having conversation in the party.,PO,,,,,,,,,,,,,,,,,,,,
offered, -The girl offered,flower for a teacher,PO,diff preposition,,,,,,,,,,,,,,,,,,,
offered, -The maid offered,some drinks to two men.,PO,,,,,,,,,,,,,,,,,,,,
offered, -The girl offered,a bunch of flowers to a woman. ,PO,,,,,,,,,,,,,,,,,,,,
offered, -The boy offered, a valentain chocolate to a girl.,PO,,,,,,,,,,,,,,,,,,,,
offered, -The maid offered,some beverages to men who were talking each other at the gathering place.,PO,,,,,,,,,,,,,,,,,,,,
offered, -The girl offered,some flowers to her teacher,PO,,,,,,,,,,,,,,,,,,,,
offered, -The boy offered,something to her,PO,Pronoun,,,,,,,,,,,,,,,,,,,
offered, -The girl offered,her teacher small flowers in front of the classroom.,DO,,,,,,,,,,,,,,,,,,,,
offered, -The girl offered,the flowers to her teacher,PO,,,,,,,,,,,,,,,,,,,,
offered, -The boy offered,his love to her,PO,Pronoun,,,,,,,,,,,,,,,,,,,
offered, -The boy offered,Valentine chocolate to girl,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
offered, -The maid offered,cups,X,,,,,,,,,,,,,,,,,,,,
offered, -The maid offered,some beverage ,X,,,,,,,,,,,,,,,,,,,,
offered, -The girl offered,flower to math teacher,PO,,,,,,,,,,,,,,,,,,,,
offered, -The boy offered,Simbol of love,X,,,,,,,,,,,,,,,,,,,,
offered, -The girl offered,some flower to a woman,PO,,,,,,,,,,,,,,,,,,,,
offered, -The girl offered,flower,X,,,,,,,,,,,,,,,,,,,,
offered, -The boy offered,his favour.,X,,,,,,,,,,,,,,,,,,,,
offered, -The maid offered,drinks to the man who is talking with other man.,PO,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,for the taxi driver,X,,,,,,,,,,,,,,,,,,,,
paid, -The boss paid,5000 dollars to his employee,PO,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,five dollar for a gas,X,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,money to a man in a gas station,PO,,,,,,,,,,,,,,,,,,,,
paid, -The boss paid,pee.,X,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,taxi fee.,X,,,,,,,,,,,,,,,,,,,,
paid, -The boss paid,5000won for the present,X,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,taxi fare,X,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,a fare,X,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,his bill,X,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,a fare to taxi driver,PO,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,five dollars,X,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,a fare to taxi driver,PO,,,,,,,,,,,,,,,,,,,,
paid, -The boss paid,the salary about month,X,,,,,,,,,,,,,,,,,,,,
paid, -The boss paid,payment to his employee.,PO,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,for gasolin to staff,X,,,,,,,,,,,,,,,,,,,,
paid, -The boss paid,to his employee.,X,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,five dollars to a clerk.,PO,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,his fare to taxi driver,PO,,,,,,,,,,,,,,,,,,,,
paid, -The boss paid,the wages to his employee who looks happy.,PO,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,5 dollars to the clerk,PO,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,for taxi,X,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,5 dollars for parking(or something else) to the manager.,PO,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,5 dollars to clerk who stands beside car,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
paid, -The man paid,taxi fare to taxi driver,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
paid, -The man paid,Money to text driver,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
paid, -The boss paid,the money,X,,,,,,,,,,,,,,,,,,,,
paid, -The boss paid,salary,X,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,5$ ,X,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,Taxi fare,X,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,$5 toll to a guy ,PO,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,money to get a cup of coffee,X,,,,,,,,,,,,,,,,,,,,
paid, -The man paid,the fare to the taxi driver.,PO,,,,,,,,,,,,,,,,,,,,
paid, -The boss paid,$5000 to his employee.,PO,,,,,,,,,,,,,,,,,,,,
passed, -The painter passed,a hammer to the carpenter,PO,,,,,,,,,,,,,,,,,,,,
passed, -The husband passed,a cup carefully to his wife,PO,,,,,,,,,,,,,,,,,,,,
passed, -The boy passed,water to the girl,PO,,,,,,,,,,,,,,,,,,,,
passed, -The boy passed,the big bottle to a girl who sitting on the other side on the table,PO,,,,,,,,,,,,,,,,,,,,
passed, -The husband passed,glass to his wife.,PO,,,,,,,,,,,,,,,,,,,,
passed, -The husband passed,the glasses to his wife,PO,,,,,,,,,,,,,,,,,,,,
passed, -The painter passed,a hammer to the carpenter,PO,,,,,,,,,,,,,,,,,,,,
passed, -The painter passed,a hammer,X,,,,,,,,,,,,,,,,,,,,
passed, -The boy passed,water bottle to a girl,PO,,,,,,,,,,,,,,,,,,,,
passed, -The painter passed,a hammer to him,PO,Pronoun,,,,,,,,,,,,,,,,,,,
passed, -The boy passed,a bottle,X,,,,,,,,,,,,,,,,,,,,
passed, -The painter passed,a hammer to him,X,Pronoun,,,,,,,,,,,,,,,,,,,
passed, -The husband passed,the beer his wife,PO,"word order = PO, no preposition",,,,,,,,,,,,,,,,,,,
passed, -The husband passed,a cup to his wife.,PO,,,,,,,,,,,,,,,,,,,,
passed, -The boy passed,bottle to girl,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
passed, -The husband passed,a glass to his wife.,PO,,,,,,,,,,,,,,,,,,,,
passed, -The boy passed,a water bottle to an woman.,PO,,,,,,,,,,,,,,,,,,,,
passed, -The painter passed,a hammer to another painter.,PO,,,,,,,,,,,,,,,,,,,,
passed, -The husband passed,a cup to the wife who was having a meal at the table.,PO,,,,,,,,,,,,,,,,,,,,
passed, -The boy passed,the cup to the girl above the table,PO,,,,,,,,,,,,,,,,,,,,
passed, -The painter passed,hammer to carpenter,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
passed, -The boy passed,the girl a kettle.,DO,,,,,,,,,,,,,,,,,,,,
passed, -The boy passed,the cattle of water to his sister,PO,,,,,,,,,,,,,,,,,,,,
passed, -The painter passed,hammer to co worker,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
passed, -The painter passed,A hammer to other person.,PO,,,,,,,,,,,,,,,,,,,,
passed, -The husband passed,a cup,X,,,,,,,,,,,,,,,,,,,,
passed, -The husband passed,bottle to his wife,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
passed, -The boy passed,a cup to his sister,PO,,,,,,,,,,,,,,,,,,,,
passed, -The painter passed,Her test,X,,,,,,,,,,,,,,,,,,,,
passed, -The boy passed,a plastick cup to a girl over the table,PO,,,,,,,,,,,,,,,,,,,,
passed, -The boy passed,a glass bottle,X,,,,,,,,,,,,,,,,,,,,
passed, -The painter passed,a hammer.,X,,,,,,,,,,,,,,,,,,,,
passed, -The husband passed,a glass to the wife.,PO,,,,,,,,,,,,,,,,,,,,
sent, -The boy sent,a love letter to a gril,PO,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,a mail to her mom ,PO,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,a letter to her friend,PO,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,a mail to a girl,PO,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,mail to mom.,PO,,,,,,,,,,,,,,,,,,,,
sent, -The boy sent,love letter to him lovers.,PO,wrong pronoun,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,the mail to her best friend,PO,,,,,,,,,,,,,,,,,,,,
sent, -The boy sent,the mail to his girlfriend,PO,,,,,,,,,,,,,,,,,,,,
sent, -The boy sent,love leatter,X,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,a letter to friend,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
sent, -The boy sent,a love leatter to his girl friend.,PO,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,mail to her friend,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
sent, -The boy sent,a love leatter to his girl friend.,PO,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,the letter her teacher,PO,"word order = PO, no preposition",,,,,,,,,,,,,,,,,,,
sent, -The girl sent,a drawing to her grandmother.,PO,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,letter to friend,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
sent, -The girl sent,a letter to her mother.,PO,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,a mail to her friend.,PO,,,,,,,,,,,,,,,,,,,,
sent, -The boy sent,a email to his girl friend.,PO,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,the christmas letter to her mom who is thought by her daughter.,PO,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,a letter to someone who the girl is thinking,PO,,,,,,,,,,,,,,,,,,,,
sent, -The boy sent,mail to sameone,PO,wrong spelling,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,a mail to her mother by handwriting.,PO,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,a post mail to her best friend,PO,,,,,,,,,,,,,,,,,,,,
sent, -The boy sent,e-mail to her,PO,,,,,,,,,,,,,,,,,,,,
sent, -The boy sent,Love letter by email,X,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,a letter,X,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,letter to her friend,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
sent, -The girl sent,latter for her friend,X,,,,,,,,,,,,,,,,,,,,
sent, -The boy sent,Email to the girl he loves,PO,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,a letter to her female friend,PO,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,a letter to her friend,PO,,,,,,,,,,,,,,,,,,,,
sent, -The boy sent,a mail to his girlfriend.,PO,,,,,,,,,,,,,,,,,,,,
sent, -The girl sent,a card to her mother.,PO,,,,,,,,,,,,,,,,,,,,
showed, -The woman showed,a one-piece to the man,PO,,,,,,,,,,,,,,,,,,,,
showed, -The cowboy showed,a hat to a clown,PO,,,,,,,,,,,,,,,,,,,,
showed, -The man showed,the judge the proof,DO,,,,,,,,,,,,,,,,,,,,
showed, -The man showed,a gun to a man who sit on a chair wearing a gorgeous clothes looks president,PO,,,,,,,,,,,,,,,,,,,,
showed, -The cowboy showed,his hat to crown.,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
showed, -The woman showed,her new one-piece.,DO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
showed, -The cowboy showed,the hat to the circus,PO,,,,,,,,,,,,,,,,,,,,
showed, -The woman showed,the dress,X,,,,,,,,,,,,,,,,,,,,
showed, -The woman showed,a one-piece dress,X,,,,,,,,,,,,,,,,,,,,
showed, -The man showed,evidence to judge,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
showed, -The woman showed,a one-piece dress,X,,,,,,,,,,,,,,,,,,,,
showed, -The man showed,gun as evidence,X,,,,,,,,,,,,,,,,,,,,
showed, -The woman showed,a dress,X,,,,,,,,,,,,,,,,,,,,
showed, -The cowboy showed,up his hat to crown,PO,??,,,,,,,,,,,,,,,,,,,
showed, -The cowboy showed,a hat to a crown.,PO,,,,,,,,,,,,,,,,,,,,
showed, -The man showed,evidence the jugde,PO,"word order = PO, no preposition",,,,,,,,,,,,,,,,,,,
showed, -The cowboy showed,his hat to a crown.,PO,,,,,,,,,,,,,,,,,,,,
showed, -The man showed,"an evidence, a gun, to a judge.",PO,,,,,,,,,,,,,,,,,,,,
showed, -The woman showed,a dress.,X,,,,,,,,,,,,,,,,,,,,
showed, -The cowboy showed,his hat to the clown and they are both smiling.,PO,,,,,,,,,,,,,,,,,,,,
showed, -The man showed,scripts to a man who is in front of the man,PO,,,,,,,,,,,,,,,,,,,,
showed, -The woman showed,dress to a men,PO,,,,,,,,,,,,,,,,,,,,
showed, -The man showed,the judge a gun(which might be found at the crime scene).,DO,,,,,,,,,,,,,,,,,,,,
showed, -The man showed,his non-guilty to the judge,PO,,,,,,,,,,,,,,,,,,,,
showed, -The woman showed,dress to him,PO,Pronoun,,,,,,,,,,,,,,,,,,,
showed, -The woman showed,Her dress to guy,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
showed, -The cowboy showed,hats,X,,,,,,,,,,,,,,,,,,,,
showed, -The cowboy showed,his hat,X,,,,,,,,,,,,,,,,,,,,
showed, -The man showed,gun as evidence to judge. ,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
showed, -The woman showed,A dress that man looked,X,,,,,,,,,,,,,,,,,,,,
showed, -The man showed,an evidence to the judge at the court,PO,,,,,,,,,,,,,,,,,,,,
showed, -The man showed,a evidence of crime to judge,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
showed, -The woman showed,the dress.,X,,,,,,,,,,,,,,,,,,,,
showed, -The cowboy showed,his hat to the crown in front of the circus curtain.,PO,,,,,,,,,,,,,,,,,,,,
sold, -The woman sold,a T-Shirt,X,,,,,,,,,,,,,,,,,,,,
sold, -The man sold,a hot dog to a girl,PO,,,,,,,,,,,,,,,,,,,,
sold, -The salesman sold,the car by $2990,X,,,,,,,,,,,,,,,,,,,,
sold, -The salesman sold,a car to a guy looks farmer at 2990$,PO,,,,,,,,,,,,,,,,,,,,
sold, -The man sold,hotdog.,X,,,,,,,,,,,,,,,,,,,,
sold, -The woman sold,a t-shirt him.,X,,,,,,,,,,,,,,,,,,,,
sold, -The man sold,many hot dogs,X,,,,,,,,,,,,,,,,,,,,
sold, -The woman sold,the T-shirt,X,,,,,,,,,,,,,,,,,,,,
sold, -The woman sold,a shirt,X,,,,,,,,,,,,,,,,,,,,
sold, -The salesman sold,a car,X,,,,,,,,,,,,,,,,,,,,
sold, -The woman sold,a shirt to customer,PO,incomplete NP (no determiner),,,,,,,,,,,,,,,,,,,
sold, -The salesman sold,old car at 2990 dallars,X,,,,,,,,,,,,,,,,,,,,
sold, -The woman sold,a shirt,X,,,,,,,,,,,,,,,,,,,,
sold, -The man sold,hot dog approaching someone,X,,,,,,,,,,,,,,,,,,,,
sold, -The man sold,a hot dog to a girl.,PO,,,,,,,,,,,,,,,,,,,,
sold, -The salesman sold,a car customer ,X,,,,,,,,,,,,,,,,,,,,
sold, -The man sold,a hotdog to a woman.,PO,,,,,,,,,,,,,,,,,,,,
