#,lemma,Verb form,Concordance,Hit?,Construction,comments,TA,FREAK,Coments
141,afford,affords,"Considerable teachers agreed with the fact that physical punishment affords them enough time to deal with bullies, while teaching class",1,DO,,simple_present,,
2552,bring,bring,Because It can bring them car accidents,1,DO,,infinitive,,
2559,bring,bring,"Furthermore, banning smoking in all public buildings can bring advandages to household economy",1,PO ,,infinitive,,
2562,bring,bring,"Not forcing one person to complete military service, and just let them do their job would bring increased satisfaction to that group of people",1,PO ,,infinitive,,
2571,bring,bring,"As I said before, Physical punishment in schools can bring negative effects to both schools and students",1,PO ,,infinitive,,
2576,bring,bring about,"So, it will bring about a wonderful result to Korea",1,PO ,,simple_future,,
2590,bring,bringing,"It would spread out to the entire ecosystem, bringing detrimental harms to animals as well",1,PO ,,present_progressive,,
2601,bring,brings,Smoking brings bad effect to our health,1,PO ,,simple_present,,
2603,bring,brings,Since it only brings us good effects and no bad effects,1,DO,,simple_present,,
2604,bring,brings,It brings unpleasant feelings to non-smokers and even smokers who don't want to smoke right that time,1,PO ,,simple_present,,
2606,bring,brings,And smoking brings very dangerous effect to people,1,PO ,,simple_present,,
2613,bring,brought,Art brought me some fun and this subject was my pride in high school,1,DO,,simple_past,,
2615,bring,brought,The decisions from deep thinking were always perfect and brought us success,1,DO,,simple_past,,
2620,bring,brought,I think these pig figures brought much luck to my family,1,PO ,,simple_past,,
2926,buy,buy,"He advises to the students in the hardtime, and He buy the present to students",1,PO,,simple_present,,
2954,buy,buy,"I considered asking my parents to buy it to me, but within a moment I decided to buy it by my self",1,PO,,infinitive,,
2969,buy,buy,"And PE class teacher was really kind teacher, he used to buy students drinks, play soccer with class students togheter and give students small gift in each other's birthday",1,DO,,infinitive,,
2973,buy,buy,"my mother proposed me 'if you're in top 10, I will buy you your best wish' in that situation, I got a power that I can use to remind myself as I can do it",1,DO,,simple_future,,
2991,buy,buying,"Although she often reprimanded me, she sometimes tried to give me comfort by buying me lunch outside the school",1,DO,,present_progressive,,
3016,buy,buys,"when i suggest somewhere to go or something to do or some food to eat, he always says""yes"" and when i was frustrated after exam, he cares me, buys foods to me",1,PO,,simple_present,,
3345,call,called,These days some students called the police officer to their teacher because of physical punishment,1,PO,,simple_past,,
3796,cause,cause,And bad feelings cause him or her extreme decision like sucide himself or herself,1,DO,,simple_present,,
3802,cause,cause,This way of punishment cause more resist for student to teachers and school,1,PO,,simple_present,,
3813,cause,cause,"And if he or she cannot concentrate to driving perfectly, it is easy to make car accidents and cause terrible effects not only to the driver who use cellular phone but also to other innocent drivers who were around the driver",1,PO,,simple_present,,
3885,cause,cause,"One can argue, 'then why not ban all things that seem to cause others harm such as obsese people entering the building since they take a lot of place?'",1,DO,,infinitive,,
3890,cause,cause,like this wrong information from the internet cause real effect to people badly,1,PO,,simple_present,,
3907,cause,cause,"For example, It contains tarr which cause cancer to human, nicotine that makes people addict, carbonoxyde which can cause breathing problem",1,PO,,simple_present,,
3914,cause,cause,"In other words, children learn not to do things that cause them physically hurt",1,DO,,simple_present,,
3971,cause,cause,Physical punishment cause violative temp to students,1,PO,,simple_present,,
3982,cause,cause,"I also think so because it can cause a great loss to Korea if high intellectuals, especially scientists are forced to complete military service",1,PO,,infinitive,,
3983,cause,cause,This will hamper the development of sceicne of Korea and cause a great loss to Korea,1,PO,,simple_future,,
4030,cause,cause,in medical reports said that indirect smoking can cause serious problem to non-smoker,1,PO,,infinitive,,
4049,cause,cause,"Needless to say, smoking can cause people lung cancer",1,DO,,infinitive,,
4063,cause,cause,"In this situation, smoking in the buildings can cause secondhand smoke to other non-smokers",1,PO,,infinitive,,
4093,cause,cause,"They consider it is not an important behavior, but it can cause a big accidents to so many people",1,PO,,infinitive,,
4101,cause,cause,"Second, It can cause the harmful effect to a person's health",1,PO,,infinitive,,
4115,cause,cause,It can cause more problems to celebrities,1,PO,,infinitive,,
4122,cause,cause,"Plus, as the number of samples which reseachers can use in experiment decreases, it will cause a break to the velocity of development in medical fields",1,PO,,simple_future,,
4126,cause,cause,"Considering the North Korea's recent attitude toward the South Korea, giving up mandatory military service will cause serious dangers to the safety of the South Korea",1,PO,,simple_future,,
4139,cause,cause,"If the law is not enacted, many possibilities that can cause negative results to our society are still available",1,PO,,infinitive,,
4140,cause,cause,It can cause mental shock to students,1,PO,,infinitive,,
4154,cause,cause,Smoking cause many diseases to not only himself but also other people,1,PO,,simple_present,,
4180,cause,cause,"If there are Physical punishment in schools, it will cause a lot of negative things not only to schools but also to students",1,PO,,simple_future,,
4182,cause,cause,So physical punishment can cause negative effect to school,1,PO,,infinitive,,
4201,cause,cause,"Being isolated can cause economical, social damage to person",1,PO,,infinitive,,
4236,cause,cause,"I believe that smoking should be banned in all public buildings, because if it were to be allowed, it could cause serious problems both physical and mental to non-smokers",1,PO,,infinitive,,
4238,cause,cause,"Intended or not, smokers would cause negative effects to other people's bodies just by smoking in a public building",1,PO,,infinitive,,
4239,cause,cause,"Thirdly, breathing in cigarette smoke could cause mental stress to non-smokers",1,PO,,infinitive,,
4247,cause,cause,It can cause serious accident to dirviers and at the same time to other people who are in the car or walk on the street,1,PO,,infinitive,,
4384,cause,causes,"Therefore it causes displeasure to those who visits the place and even the smokers themselves, because unlike smoking in outdoors, they get to breath more sub-smoke which is more harmful then main smoke they suck with filter",1,PO,,simple_present,,
4390,cause,causes,"Rather than all-curing drug, it's closer to drug which causes side-effect to children",1,PO,,simple_present,,
4391,cause,causes,And it causes many deadly diseases to the people with the smoker,1,PO,,simple_present,,
4401,cause,causes,This causes big loss to the country,1,PO,,simple_present,,
4406,cause,causes,"Smoke smell is disgust and causes coach to non-smoker, so non-smoker has a stress with smoke",1,PO,,simple_present,,
4408,cause,causes,"However, deciding what to be banned does not solely depend on whether it causes others harm",1,DO,,simple_present,,
4413,cause,causes,"Just as i said in first paragraph, if smoking causes these bad things just to smokers, it doesn't matter because that is just for their bad habits",1,PO,,simple_present,,
4428,cause,causes,"Moreover, when a man smokes, its harmful matters go into the noses or mouses of people around him, and that causes many problems to them like some diseases or stresses",1,PO,,simple_present,,
4454,cause,causes,The instruction creates pain to the student who causes some faults and alarming to other students who watch the situation,1,PO,,simple_present,,
4475,cause,causes,"To summarize, smoking causes health problem to not only people who smokes, but also people who walks near them",1,PO,,simple_present,,
4511,charge,charge,"He said when he charge a punishment to his student, it makes him more hard",1,PO,,simple_present,,
4517,charge,charge,"By making a rule to ban smoking and charge money to smokers who ban the rule, smokers can give up a chance to smoke one more time",1,PO,,infinitive,,
4525,charge,charge,"If the government enact the law banning to smoke and charge fines to people who do not observe the law, it would make smokers reconsider about quitting their bad habit",1,PO,,infinitive,,
4598,cook,cooked,"Sometimes, I cooked lunch for family with mom",1,PO,,simple_past,,
4628,cost,cost,It can cost people more money,1,DO,,infinitive,,
4691,cost,costing,We should ban it by costing that law breakers much of money,1,DO,,present_progressive,,
4953,do,did,"Third, we did many things to animals",1,PO,,simple_past,,
4954,do,did,"Like those, we did enough to the pets to be rewarded",1,PO,,simple_past,,
5059,do,did,"If a man did a good things to Korea and going to military could be a problem to doing the good things , I think we can free him with going military",1,PO,,simple_past,,
5096,do,did,In fact people who oppose to animal experiments did themselves benefit from experiments,1,DO,,simple_past,,
5219,do,did,She is very severe when someone did a rude activity to friends or other teachers,1,PO,,simple_past,,
5274,do,did,My teacher was so angry and did some physical punishments to me,1,PO,,simple_past,,
5280,do,did,"Many other teachers also did good to me but my English teacher, homeroom teacher was the best",1,PO,,simple_past,,
5303,do,did,As my experience when I was young I and my friends did homeworks well to teachers who hitted me when I don't do homework than teachers who didn't give physical punishment and just tell us not to do that,1,PO,,simple_past,,
5332,do,did,"For instance, they could have students to volunteer school's chores or works when they did someting bad behavior or ill to others",1,PO,,simple_past,,
5557,direct,direct,"Seeing this movie, I realize that teachers can't direct the students to good way without physical punishment",1,PO,,infinitive,,
5558,direct,direct,Teachers can direct their students to the right side without charging a minus score or punishment,1,PO,,infinitive,,
5574,direct,direct,"First, children are not perfect people, which means that adults should make them a right view of the world, direct them to good ways and can hurt dreams of children",1,PO,,infinitive,,
5655,do,do,And that person can do the same thing to other people like their children,1,PO,,infinitive,,
5668,do,do,"But some teachers think that they can do everything they want to their students because they are teacher, and punish students physically for unappropriate reason",1,PO,,infinitive,,
5693,do,do,"Nevertheless, it doesn`t mean we may do very cruel things to them",1,PO,,infinitive,,
5754,do,do,Some people say we should quit using animals in medical experiments because human beings don't have the right to do such a cruel thing to our neighbors,1,PO,,infinitive,,
5831,do,do,"Often, North Korea do violent behavior to South Korea",1,PO,,simple_present,,
5838,do,do,Second reason is that punishment is a efficient way for student to recognize that they did the wrong thing and give the reason to do good thing to student,1,PO,,infinitive,,
5874,do,do,"For example, Middle school students do bad thing to lady teacher, record it and upload the video to the internet",1,PO,,infinitive,,
5882,do,do,We do lot's of things to animals,1,PO,,simple_present,,
5884,do,do,Because we do many things to them,1,PO,,simple_present,,
5948,do,do,Some of students are do bad to their teacher for the reason of the bill,1,PO,,simple_present,,
5972,do,do,"When she or he is upset because of his or her personal reason, he or she often do physical punishment seriously to the students",1,PO,,simple_present,,
6220,do,do,"To begin with, there are ways to make smoking not do harm to others",1,PO,,infinitive,,
6234,do,do,"And I think that instead of forcing him to go military, forcing him to do good things to Korea he can do better is the better dicide",1,PO,,infinitive,,
6244,do,do,"For the last thing, physical punishment can make children do the same thing to their own children",1,PO,,infinitive,,
6321,do,do,"They just do physical punishment to children not because they want children to correct their wrongs, but children hurt their emotions and they want hurt them, too",1,PO,,simple_present,,
6367,do,do,It often happens that students in school do something forbidden to teachers like swearing or hitting,1,PO,,simple_present,,
6388,do,do,In high-school or middle-school a lots of students do bad action to our teachers,1,PO,,simple_present,,
6407,do,do,"If the punishment is severe, punished students becomes angry and do bad to the punishing teacher",1,PO,,simple_present,,
6450,do,do,"I understand the opinion that some teachers do very intense physical punishment to students so, it could be the violation of right",1,PO,,simple_present,,
6466,do,do,"when you see this story, you will feel that it's really necessary to do physical act to students for their future",1,PO,,infinitive,,
6468,do,do,"so I agree that teachers can do any physical acts to their students, because they love children",1,PO,,infinitive,,
6535,do,do,"Also if we prohibit animal experiment, we would do experiment to human secretely by giving money to the poor",1,PO,,infinitive,,
6661,do,do,"If scientists don't do experiments to animals, they should do that to human or scientists can't know whether their techonology is safe when they use it to patients",1,PO,,infinitive,,
6675,do,do,"And don't teach punishment for student, becase they will do same things to their student",1,PO,,simple_future,,
6695,do,do,"However, we can do them to animals",1,PO,,infinitive,,
6700,do,do,"In social media, we can often hear about the happening that A student rejects the commend of his or her teacher and even do harm to teacher",1,PO,,simple_present,,
6704,do,do,People do medical experiments to animals because it is dangerous doing medical experiments to a human directly,1,PO,,simple_present,,
6751,do,do,I submit that some teachesr misuse this right and do harm to students,1,PO,,simple_present,,
6783,do,do,"And, if we do experiment to animal continually, it will deprive 'the freedom to live' from animals",1,PO,,simple_present,,
6835,do,do,Many teachers do physical punishment to children,1,PO,,simple_present,,
6838,do,do,And the person who got the physical punishment can do the same thing to their children,1,PO,,infinitive,,
6845,do,do,It would have bad effect on children to make them spanked when it comes to associating with others because children who had physical punishment would probably think that it is fair to hit other people who do something wrong to them,1,PO,,simple_present,,
6896,do,do,"Because of that, when these youngsters grow up, they will do the same to there sons and daughters",1,PO,,simple_future,,
6984,do,do,"I heard some people said, ""We have to do physical punishment to children, because they will be good after they had a physical punishment",1,PO,,infinitive,,
7049,do,do,They could do rude things to adults or dangerous things,1,PO,,infinitive,,
7061,do,do,"To say my opinion first, the answer is NO Recently, elementary school teachers in Seoul can't do physical punishment to students because of law that made three months ago",1,PO,,infinitive,,
7144,do,do,"It is clear that smoking is do harm not only to the man who smokes, but also to the man who is close to the smoking person",1,PO,,simple_present,,
7189,do,do,how it happens? the students know they couldn't do kind of that to man,1,PO,,infinitive,,
7196,do,do,We don't have any right to do such harmful things to them,1,PO,,infinitive,,
7208,do,do,Because many NGOs and animal lovers are forcing not to do the medical experiments to animals,1,PO,,infinitive,,
7228,do,do,It is more easy to do crime to a thing which is not a human,1,PO,,infinitive,,
7286,do,do,"Students can do some wrong things and if those performances are very serious, teachers should do some physical punishment to the students",1,PO,,infinitive,,
7290,do,do,"Many students are not 'adults', so in this case, teachers should do some physical punishments to students who did wrong",1,PO,,infinitive,,
7307,do,do,"Physical punishment can do harm to the students, and hurt them",1,PO,,infinitive,,
7422,do,do,"If she did not do anything to me, I was ruined by new envionment",1,PO,,simple_past,,
7458,do,do,So what the people's right for when we do same kind of acts to animals and students,1,PO,,simple_present,,
7536,do,do,"Actually, every teacher is reluctant to do physical punishment to students",1,PO,,infinitive,,
7581,do,do,"When children rebel teacher's order and do bad works to friends, To hit children's hand a little bit is enough",1,PO,,simple_present,,
7731,do,do,"For instance, if one medical experiment about a serious illness that is infected from humans to some animals is performed, doctors can help people cure the illness, also can do this cure to animals",1,PO,,infinitive,,
7842,do,do,"I want to condemn that he must be prisoned, but I may be scared if he will do bad thing to me",1,PO,,simple_future,,
7895,do,do,"According to the research, people who experienced physical punishment often in childhood might do the same thing to their children or students",1,PO,,infinitive,,
7941,do,do,"The last reason is that if children who got a lot of physical punishment grow up and became a teacher, they want to do the same thing to their students",1,PO,,infinitive,,
8141,do,do,"Therefore, I think that despite acting the suggestion, don't do too much physical punishment to students",1,PO,,simple_present,,
8167,do,do,Also the pros can think like this : the pubilc buildings are open places so smoking smells will not do any harm to people,1,PO,,simple_present,,
8168,do,do,So even smells can be a effective prove to ban the smoking in public buildings because the smokers agree the smells which do harms to people,1,PO,,simple_present,,
8208,do,do,"Without using their real name, people can think that it is Okay to do harm to the other people, because they will don't know who did these things",1,PO,,infinitive,,
8210,do,do,So people leave bad messages just in curiousity or to do harm to the famous people,1,PO,,infinitive,,
8212,do,do,Peaple can get a courage by using their nickname but 'that courage' only can do harm to the other people,1,PO,,infinitive,,
8274,do,do,"There are many problem on the Internet, because on the Internet, we can not know who really is and even we know people we met at web, we can't do anything to them",1,PO,,infinitive,,
8305,do,do,"but if they need, we should give them special insurance for their important 22 months time or we should force to do something to women for our nation",1,PO,,infinitive,,
8308,do,do,"Some students may fight agains teachers or do bully things to everyone, because they feel free suddenly",1,PO,,infinitive,,
8341,do,do,"Through this system, people will be able to do their works for their nation happily",1,PO,,infinitive,,
8405,do,do,Also when they become adults they do same thing to children,1,PO,,simple_present,,
8413,do,do,"In proper use of their life, we can do more good things to them and It will becomes win-win solution",1,PO,,infinitive,,
8456,do,do,And some people can do a lot of things to the nation without getting in military,1,PO,,infinitive,,
8607,do,do,The physical punishment of children in schools is an hot issue because the government decided not to let teachers do the physical punishment to their students a few months ago,1,PO,,infinitive,?,
8632,do,do,But we people do oweful things to animals without any sorry,1,PO,,simple_present,,
8665,do,do,"later, they can do physical punishment to his children, so we have to counslate with children",1,PO,,infinitive,,
8680,do,do,But I'm not saying many middle school teachers always do physical punishment to their students when they have a wrong,1,PO,,simple_present,,
8791,do,does,One day a girl of my classmate does little mistake to teacher,1,PO,,simple_present,,
8960,do,doing,So the experiments are not doing any harm to environment,1,PO,,present_progressive,,
8995,do,doing,"But, doing cruel experiment to animals is just reverse to this bigger stream",1,PO,,present_progressive,,
9038,do,doing,"In addition, its smell is not easily erased, so when someone smokes, he is not doing harm only to people next to him but also to people who would come after him",1,PO,,present_progressive,,
9039,do,doing,"Instead, it is possible to make 'smoking rooms' in public buildings so that people can smoke without doing harm to other people",1,PO,,present_progressive,,
9123,do,doing,But teacher's mind is very hurt for doing punishment to students,1,PO,,present_progressive,,
9165,do,doing,Why don't we make some groups doing good things to them? Or can't we just people make go to army who wants to be a soldier? Everyone do not like the complete military service especially Korean men,1,PO,,infinitive,?,
9166,do,doing,We should make any other things that can be other means just not doing force to complete military service to all Korean men,1,PO,,present_progressive,,
9235,do,doing,They have been doing the same things to me and their pupils,1,PO,,present_progressive,,
9246,do,doing,"For example, there must be a person who is trying to make profits by doing frauds to other people in the cyber space",1,PO,,present_progressive,,
9639,draw,drawing,"he tought politics interesting, for example, by drawing other things to class",1,PO,,present_progressive,,
9781,feed,feed,"My work is give cows to drink water, and feed a foods to them",1,PO,,simple_present,,
10224,find,finds,"After he finds himself something wrong, he tries to keep it in his mind and not to do such thing again",1,DO,,simple_present,,
10520,give,gave,My purse has special meaning for me because my older sister gave me it for my birthday present,1,DO,,simple_past,,
10521,give,gave,"When I look at it, it remind me that my sister gave me a lot of love and intention",1,DO,,simple_past,,
10526,give,gave,"When I don't know how to solve the problems, teacher gave me a small hint and it helped me to solve them on my own",1,DO,,simple_past,,
10527,give,gave,"My uncle, the guitar's possesser at that time, willingly gave me his sweet memories, and I got a family-successed instruments",1,DO,,simple_past,,
10528,give,gave,"By helping them, I felt gladness and that is why I studied more and more about math and it gave me confidence",1,DO,,simple_past,,
10531,give,gave,She gave me pride and belief about myself,1,DO,,simple_past,,
10532,give,gave,"I think he gave me the way to live my life, and it is the most precious present for me",1,DO,,simple_past,,
10533,give,gave,Then she gave a talk to me and we became a 'best friend' to each other,1,PO,,simple_past,,
10534,give,gave,My grandmother gave it to me before she died ,1,PO,,simple_past,,
10535,give,gave,"when she gave it to me , she said, "" though there is a path others would like to go , cause it gives them wealth, social status , do not care it ",1,PO,,simple_past,,
10536,give,gave,Because He gave me passion in earth science and study,1,DO,,simple_past,,
10537,give,gave,"On the other hand, he gave the chance which experience the national earth science test to me",1,PO,,simple_past,,
10541,give,gave,"When I was frustrated, he gave me a lot of hope",1,DO,,simple_past,,
10542,give,gave,I always gave him a question that I don't understand,1,DO,,simple_past,,
10543,give,gave,My mom gave it to me ten years ago when I was very young,1,PO,,simple_past,,
10544,give,gave,Actually my dad gave it to her when he proposed her,1,PO,,simple_past,,
10545,give,gave,"So, in many case, once the teacher gave physcal punishment to the student, the student do not conform with the teacher",1,PO,,simple_past,,
10547,give,gave,He was always energetic and this gave the same enegy to the people around him,1,PO,,simple_past,,
10548,give,gave,Those picture gave me the fantasy about France,1,DO,,simple_past,,
10549,give,gave,"Also 1 month before the SAT, he gave me a great advice",1,DO,,simple_past,,
10551,give,gave,"Also, this experience gave me a firm belief that if I work hard, great reward comes",1,DO,,simple_past,,
10552,give,gave,"And i was good at history, so my history teacher gave me a more information about history",1,DO,,simple_past,,
10553,give,gave,"But she has a constant connection with me, and gave me university informations, and when i need documents about university, she provided that things",1,DO,,simple_past,,
10554,give,gave,My grandmother gave me a present when I was young,1,DO,,simple_past,,
10555,give,gave,"When my parents married, my grandparents gave the set of closet to my parents",1,PO,,simple_past,,
10556,give,gave,She listened to my troubles and gave me an advice about my future,1,DO,,simple_past,,
10557,give,gave,"So we buy twenty fishes, and when come back to home, we gave that to my neighborhood and we could eat by my family members were full",1,PO,,simple_past,,
10560,give,gave,"Diffrent from other subjects, especially social subjects, science gave me the answer which explains the basic rules of the world",1,DO,,simple_past,,
10561,give,gave,It gave us time to remind our friendship,1,DO,,simple_past,,
10563,give,gave,"When I gave him a question, He always thought carefully and kindly answered that question",1,DO,,simple_past,,
10565,give,gave,"Although countries like France are also popular for classics, Austria is the country which gave birth to many great figures in the field of classics",1,PO,,simple_past,,
10566,give,gave,"I appreciate a lot, and I think he's really the man who gave me such a good implact",1,DO,,simple_past,,
10567,give,gave,"When I was 17 years old, my best friend gave me the diary",1,DO,,simple_past,,
10568,give,gave,I gave my hands to my friends when they need my help and also they did,1,PO,,simple_past,,
10570,give,gave,She gave me a lot of advise,1,DO,,simple_past,,
10571,give,gave,Then she gave me a good advice,1,DO,,simple_past,,
10573,give,gave,Then he put himself in their situations and gave them solutions,1,DO,,simple_past,,
10574,give,gave,"He gave me confidence not only about math, but also about challenges in my whole future life!",1,DO,,simple_past,,
10576,give,gave,And He gave us confidence that is important to live a life,1,DO,,simple_past,,
10578,give,gave,In the military we learn what we must do or think in the society and We must not forget what our country gave many things to us in many ways,1,PO,,simple_past,,
10579,give,gave,She gave me dream,1,DO,,simple_past,,
10581,give,gave,"Whenever i asked him my questions, he gave me proper answers",1,DO,,simple_past,,
10582,give,gave,"If he did not know my questions, he asked other people and then gave me proper answers",1,DO,,simple_past,,
10583,give,gave,"Because he is Korean teacher, he gave me many advices",1,DO,,simple_past,,
10585,give,gave,He gave an advice to me and I could restart my study,1,PO,,simple_past,,
10586,give,gave,I pretend to be adults and gave users not good thing and manners,1,DO,,simple_past,,
10587,give,gave,"Surprisingly, whenever I met him, I gave him power and he gave me power equally",1,DO,,simple_past,,
10589,give,gave,(Also I can do) I'm very thanks to god because he gave me precious presents(friends),1,DO,,simple_past,,
10590,give,gave,It gave me a great embarrasment,1,DO,,simple_past,,
10592,give,gave,"Since I was introspective when I was a little boy, toys gave me lots of fun, relieved my feeling, and even were useful tools to make more friends",1,DO,,simple_past,,
10594,give,gave,"He loves students very much so when we had problems such as school grades, he gave us helpful advice",1,DO,,simple_past,,
10595,give,gave,Many complicated notions in this subject gave me a lot of chances to develop my critical thinking skills,1,DO,,simple_past,,
10596,give,gave,When I decided to take 1 year more to study SuNeung he cheered me up and gave me good advices,1,DO,,simple_past,,
10597,give,gave,"In addition, chemistry gave me a lot of information, so I was more intellgent than what I used to",1,DO,,simple_past,,
10598,give,gave,reading 'The catcher in the rye' gave me the lessons such as you are happy because of people around you,1,DO,,simple_past,,
10599,give,gave,Also reading 'The old man and the sea' gave me many lessons like being a strong man in front of fate and destiny,1,DO,,simple_past,,
10600,give,gave,"In early winter, We gave a present to him",1,PO,,simple_past,,
10602,give,gave,"She told me that history is not just a record, but a great way to know about my country and have confidence, and gave me some guidances",1,DO,,simple_past,,
10603,give,gave,It gave me confidence when I talk with Chinese,1,DO,,simple_past,,
10604,give,gave,It was subject that gave me many things,1,DO,,simple_past,,
10605,give,gave,"So our family focused on visting breath-takingly beautiful sites, and it gave me very good impression that I will never be able to forget",1,DO,,simple_past,,
10607,give,gave,I would think 'What will happen or change if I use this sign?' Also I like math because it gave me the aspiration of try,1,DO,,simple_past,,
10608,give,gave,"From my own experience, when I was in elementary school, teachers gave me physical punishment whenever I got in trouble",1,DO,,simple_past,,
10609,give,gave,"Also, because the staffs were students who already experienced first year at college, they gave us a lot of useful tips for college life",1,DO,,simple_past,,
10610,give,gave,It is true that it gave humans good information,1,DO,,simple_past,,
10612,give,gave,She gave me a bread when I dozed off,1,DO,,simple_past,,
10613,give,gave,She gave it to me when I was 11,1,PO,,simple_past,,
10614,give,gave,"When I asked the math question to him, he always gave the solution to me so kindly",1,PO,,simple_past,,
10615,give,gave,"In addition, he gave me many advices when I prepared a school exam and Sooneung",1,DO,,simple_past,,
